FNN, Feedforeward Neural Network
NN, Neural Network
RNN, Recurrent Neural Network
VGP, Vanishing Gradient Problem
LSTM, Long Short-Term Memory Neural Network
WSL, Swiss Federal Institute for Forest Snow and Landscape Research WSL
Schadensausmass, Schadensausmass: gering [0.01-0.4]; mittel [0.4-2]; gross/katastrophal[>2] oder Todesfall [Mio. CHF]
WANDB, Weights & Biases
RDA, Rapid Damage Assessment
NatCat, Natural Catastrophes
DJL, Deep Java Library
ReLU, Rectified Linear Unit
DTO, Data Transfer Object
